Benchmark,Disk,file_size_in,reg_size_in,random_write(KB/s),random_rewrite(KB/s),random_read(KB/s),random_reread(KB/s),time_test
iozone,md1,20480,4,29683,40017,56806,63330,0:00:02.144072
iozone,md1,20480,4,44261,42645,58855,62948,0:00:01.806155
iozone,md1,20480,4,44322,43550,58844,52353,0:00:01.819622
iozone,md1,20480,4,39333,41255,59800,57843,0:00:01.897601
iozone,md1,20480,8,66103,62901,96721,93288,0:00:01.305080
iozone,md1,20480,16,92179,89064,121872,103026,0:00:00.998621
iozone,md1,19456,4,42332,42727,61895,57188,0:00:01.728189
iozone,md1,19456,8,66446,60638,96443,92572,0:00:01.162029
iozone,md1,19456,16,91980,81924,120569,102423,0:00:00.972028
iozone,md1,18432,4,44440,38927,56820,63356,0:00:01.657566
iozone,md1,18432,8,67462,67135,96814,98395,0:00:01.064754
iozone,md1,18432,16,71152,83593,120592,123956,0:00:00.916879
iozone,md1,17408,4,38810,41969,58599,62221,0:00:01.622861
iozone,md1,17408,8,65730,63466,96071,87923,0:00:01.059544
iozone,md1,17408,16,88931,90417,120197,117154,0:00:00.821942
iozone,md1,16384,4,40652,37713,60050,55208,0:00:01.524965
iozone,md1,16384,8,64749,53986,90605,92900,0:00:01.122652
iozone,md1,16384,16,87573,77928,120224,124064,0:00:00.814971
iozone,md1,8192,4,33804,34826,47917,51950,0:00:00.951548
iozone,md1,8192,8,53460,51248,89158,96088,0:00:00.646464
iozone,md1,8192,16,83094,69650,115930,110532,0:00:00.533613
iozone,md1,20480,4,41847,43651,60500,59109,0:00:01.799317
iozone,md1,20480,8,63836,58006,98693,89795,0:00:01.234680
iozone,md1,20480,16,97036,89457,121848,124125,0:00:00.928648
iozone,md1,19456,4,40945,42983,56375,63040,0:00:01.759173
iozone,md1,19456,8,71633,64261,99684,91544,0:00:01.173830
iozone,md1,19456,16,92174,89473,122234,124166,0:00:00.903706
iozone,md1,18432,4,42708,42518,56109,61588,0:00:01.633636
iozone,md1,18432,8,68330,65058,92437,79387,0:00:01.151056
iozone,md1,18432,16,97009,87127,120926,123894,0:00:00.854321
iozone,md1,17408,4,44263,42778,61739,53500,0:00:01.531199
iozone,md1,17408,8,67890,63100,95287,89239,0:00:01.080768
iozone,md1,17408,16,85126,85677,120157,117542,0:00:00.867264
iozone,md1,16384,4,39838,38657,59652,53959,0:00:01.535782
iozone,md1,16384,8,62885,63329,96542,94506,0:00:01.018850
iozone,md1,16384,16,85676,87563,122029,124029,0:00:00.824723
iozone,md1,8192,4,41422,32445,60775,59962,0:00:00.847483
iozone,md1,8192,8,55476,55099,91306,93568,0:00:00.617363
iozone,md1,8192,16,86044,49619,109381,111381,0:00:00.533326
iozone,md1,20480,4,40332,41739,57491,62149,0:00:01.847691
iozone,md1,20480,4,42024,43565,61575,59038,0:00:01.858824
iozone,md1,20480,4,40189,43179,56506,62313,0:00:01.919204
iozone,md1,20480,4,40570,42768,55905,56384,0:00:01.916314
iozone,md1,20480,8,62017,67839,97990,87396,0:00:01.328741
iozone,md1,20480,16,93173,90546,121261,113594,0:00:00.997251
iozone,md1,19456,4,41696,41246,55344,61551,0:00:01.747457
iozone,md1,19456,8,66197,67258,97028,93959,0:00:01.129421
iozone,md1,19456,16,99683,87924,121592,124938,0:00:00.868672
iozone,md1,18432,4,40613,42540,61438,57465,0:00:01.693578
iozone,md1,18432,8,71552,58481,92467,85669,0:00:01.113428
iozone,md1,18432,16,88587,80821,121835,123321,0:00:00.883523
iozone,md1,17408,4,43579,43016,60092,56777,0:00:01.535749
iozone,md1,17408,8,64440,65856,96245,98671,0:00:01.074055
iozone,md1,17408,16,78825,75656,122381,91388,0:00:00.960470
iozone,md1,16384,4,44010,41441,61378,55273,0:00:01.467539
iozone,md1,16384,8,58112,66368,95807,89308,0:00:01.139150
iozone,md1,16384,16,74949,76755,122020,116965,0:00:00.880685
iozone,md1,8192,4,34218,32721,60005,47695,0:00:00.973981
iozone,md1,8192,8,57386,48233,93313,95385,0:00:00.615424
iozone,md1,8192,16,74842,51976,110163,111127,0:00:00.550522
